grid_id,area_name,latitude,longitude,population_density,avg_income,avg_bill_per_person,restaurant_star_rating,review_count,avg_review_score,same_cuisine_competitors_1km,other_cuisine_competitors_1km,office_density,nightlife_density,mall_proximity,college_proximity,parking_availability,public_transport_connectivity,restaurant_type,restaurant_style,location_score,lat_idx,lon_idx,grid_cell_id
G3038,Malleshwaram,12.983603706042077,77.57094513129435,19581,140643.0,4416.0,3.88,113,3.81,10,27,142,57,2.99,1.88,24.37,6,Chinese,Casual Dining,5.359926152381144e-07,36,8,36_8
G3039,Malleshwaram,13.018476382084703,77.56549901460072,13540,48232.0,5188.0,4.16,0,4.29,14,5,84,13,2.89,1.62,38.9,9,South Indian,Fine Dining,5.121977289836175e-07,44,7,44_7
G3040,Malleshwaram,12.991724092435293,77.56905183830554,12391,127196.0,1946.0,3.46,189,3.24,9,8,94,22,0.96,2.38,6.19,6,Mexican,Family Style,8.284921919421715e-07,38,8,38_8
G3041,Malleshwaram,12.987317738895037,77.56961663259987,13807,74897.0,1440.0,2.78,161,2.57,6,41,106,17,4.53,1.21,87.54,6,Cafe,Family Style,5.289165205076023e-07,37,8,37_8
G3042,Malleshwaram,12.996408100890353,77.5651325635595,19883,51764.0,1553.0,2.72,91,2.67,23,27,125,58,1.79,2.0,23.71,6,Chinese,Cafe/Bistro,5.052517933367652e-07,39,7,39_7
G3043,Malleshwaram,13.013300462159163,77.56471338414501,10726,80023.0,378.0,4.36,277,4.34,29,41,9,13,3.06,1.17,36.97,10,Seafood,Quick Service,5.700668092145136e-07,42,7,42_7
G3044,Malleshwaram,12.992152583405488,77.57293548799095,11479,102723.0,1045.0,4.54,84,4.61,34,47,94,44,5.47,2.78,19.2,10,Bakery,Casual Dining,2.3370770991025945e-07,38,9,38_9
G3045,Malleshwaram,13.015501088913563,77.56797330373172,11163,96092.0,4487.0,4.32,83,4.24,28,6,77,35,3.56,0.2,48.29,9,Japanese,Fine Dining,50.00000016167575,43,8,43_8
G3046,Malleshwaram,13.001324166024824,77.56896596755969,12121,145816.0,5447.0,3.7,125,3.44,26,52,61,0,4.92,0.2,55.15,7,Biryani,Family Style,50.00000010113885,40,8,40_8
G3047,Malleshwaram,13.005444710428607,77.5742765683182,10159,172789.0,2240.0,3.98,8,4.13,11,38,53,11,2.21,0.43,45.29,7,Italian,Food Truck,2.232926450204273e-06,41,9,41_9
G3048,Malleshwaram,13.01735924331329,77.57206303372887,14263,177960.0,4999.0,3.76,127,3.73,18,37,46,48,5.42,1.54,3.41,10,Continental,Bar/Pub,4.7765320654882e-07,43,9,43_9
G3049,Malleshwaram,12.99130833436577,77.56621560232377,13658,150064.0,3747.0,4.07,125,3.85,12,63,13,38,4.88,1.84,20.51,8,Fast Food,Casual Dining,3.963087269427935e-07,38,7,38_7
G3050,Malleshwaram,12.983105644963858,77.57788995946663,16106,99519.0,5039.0,3.3,104,3.36,24,29,14,46,3.45,1.33,60.76,6,South Indian,Bar/Pub,5.381079814967519e-07,36,10,36_10
G3051,Malleshwaram,12.99782528479445,77.57857856267896,10283,150181.0,858.0,4.02,51,3.98,18,31,80,49,4.74,1.16,61.65,8,BBQ,Cafe/Bistro,5.880090651203811e-07,39,10,39_10
G3052,Malleshwaram,13.016347744215109,77.5713751598128,19377,138744.0,5883.0,4.58,0,4.55,23,19,82,42,2.44,3.68,71.17,7,Italian,Bar/Pub,4.5326207639975327e-07,43,8,43_8
G3053,Malleshwaram,12.994388169789492,77.57987456480771,11619,138352.0,3548.0,4.57,0,4.21,15,45,65,69,2.57,0.53,61.71,8,Biryani,Bar/Pub,1.6394861361766007e-06,38,10,38_10
G3054,Malleshwaram,12.998702768728856,77.57342850619918,15814,126301.0,2250.0,4.12,311,3.87,25,50,0,0,1.1,0.2,21.49,9,Continental,Cafe/Bistro,50.00000053088895,39,9,39_9
G3055,Malleshwaram,12.98199229225408,77.57480431904324,17219,134877.0,4812.0,3.8,0,3.45,22,36,1,65,5.89,0.57,33.84,6,Cafe,Fine Dining,1.3275245625337152e-06,35,9,35_9
G3056,Malleshwaram,12.99738102010713,77.56436787661231,12194,58426.0,4894.0,4.03,152,3.55,21,60,3,59,8.56,1.6,38.89,6,Mexican,Food Truck,3.318228229765295e-07,39,7,39_7
G3057,Malleshwaram,13.012001977009074,77.56140089663691,18268,46036.0,3472.0,4.65,320,4.51,17,63,71,83,3.81,1.2,44.94,8,South Indian,Fine Dining,6.410390072490305e-07,42,6,42_6
G3058,Malleshwaram,12.982072960758732,77.57243480869268,14714,176926.0,5554.0,4.06,143,3.93,33,46,34,20,4.4,2.51,27.63,10,Mexican,Bar/Pub,3.375050136216946e-07,35,9,35_9
G3059,Malleshwaram,12.995494406157766,77.57955970815617,13542,130815.0,2702.0,4.65,106,4.61,21,23,95,1,3.97,3.32,25.76,10,Mexican,Cafe/Bistro,3.039003146134693e-07,38,10,38_10
G3060,Malleshwaram,12.983294460532855,77.56525602976565,10204,138930.0,4398.0,3.45,0,3.71,18,41,96,59,5.12,2.56,35.67,8,Cafe,Family Style,2.95872609757827e-07,36,7,36_7
G3061,Malleshwaram,12.988943464959972,77.57907638212373,17101,54706.0,4845.0,3.91,248,4.35,9,74,35,12,4.6,3.36,56.22,10,Japanese,Food Court,2.8590374359541356e-07,37,10,37_10
G3062,Malleshwaram,12.99162900877103,77.56850951001869,14436,82274.0,5938.0,3.83,0,3.6,26,6,100,26,6.12,2.86,62.03,7,BBQ,Quick Service,2.5818914027825214e-07,38,8,38_8
G3063,Malleshwaram,12.985537953834124,77.5601115819997,14420,161164.0,1884.0,3.78,62,3.94,22,37,62,32,5.87,2.26,29.61,7,South Indian,Food Truck,3.03227834310117e-07,36,6,36_6
G3064,Malleshwaram,13.008229200781582,77.56789123118182,10581,141945.0,2121.0,3.84,66,3.94,33,45,116,23,5.29,1.77,34.09,3,Cafe,Quick Service,3.1711706818158176e-07,41,8,41_8
G3065,Malleshwaram,12.990447420479253,77.57172773332483,15824,125858.0,4988.0,4.57,324,4.51,17,32,48,26,4.75,2.65,23.47,8,Chinese,Food Court,3.5000366150081043e-07,37,9,37_9
G3066,Malleshwaram,13.00022283476106,77.56329376858882,19538,140972.0,2262.0,3.51,221,3.44,22,46,32,87,5.15,3.44,35.77,8,Mexican,Family Style,2.7188192641995864e-07,39,7,39_7
G3067,Malleshwaram,13.01273274642742,77.56119803247655,19911,85439.0,2251.0,4.47,314,4.47,9,52,5,34,2.63,3.2,4.21,7,Japanese,Food Truck,3.752113015473606e-07,42,6,42_6
G3068,Malleshwaram,12.991426697837875,77.56262958610544,13328,77531.0,603.0,3.81,0,3.85,19,31,96,33,5.25,0.5,18.01,10,BBQ,Cafe/Bistro,1.5766664303974813e-06,38,7,38_7
G3069,Malleshwaram,13.005601862170694,77.56516611866296,12631,82262.0,5228.0,3.76,88,3.48,35,47,66,20,3.12,0.83,58.56,5,Continental,Food Court,8.257930241619812e-07,41,7,41_7
G3070,Malleshwaram,13.01640347484068,77.57812478145436,12848,69376.0,4680.0,4.32,371,4.32,26,33,91,0,5.47,1.51,44.42,9,Biryani,Family Style,4.3760391645761846e-07,43,10,43_10
G3071,Malleshwaram,13.016475600802222,77.56922637066444,15585,88679.0,3655.0,4.77,18,5.0,18,39,117,21,2.29,2.0,92.03,8,Chinese,Cafe/Bistro,5.572234771529818e-07,43,8,43_8
G3072,Malleshwaram,13.00709228097978,77.56389999147959,10664,51700.0,3323.0,3.77,9,4.03,16,32,57,12,6.72,2.78,45.68,7,Italian,Food Truck,1.91430348413337e-07,41,7,41_7
G3073,Malleshwaram,13.003473103452404,77.56052527159497,13579,154934.0,2077.0,4.15,184,4.31,9,35,53,0,4.96,0.52,29.03,8,Continental,Fine Dining,1.5546741016749452e-06,40,6,40_6
G3074,Malleshwaram,12.999644897462275,77.56380097569816,18329,95715.0,5312.0,4.05,196,4.23,19,35,106,34,2.17,5.23,45.69,8,Fast Food,Bar/Pub,4.006052541791803e-07,39,7,39_7
G3075,Malleshwaram,12.985067498350489,77.56886742304158,10839,173001.0,1951.0,4.2,216,4.14,5,11,75,39,3.29,2.18,30.29,10,Biryani,Food Court,4.542934214164208e-07,36,8,36_8
G3076,Malleshwaram,13.007276661719136,77.56652791814312,17651,124355.0,1148.0,4.62,124,4.58,12,29,16,46,4.23,1.81,44.27,10,BBQ,Bar/Pub,4.656916935835378e-07,41,7,41_7
G3077,Malleshwaram,12.99143773424806,77.57979258784297,17932,81198.0,3725.0,4.14,170,4.23,18,9,112,64,4.51,2.91,8.52,7,Bakery,Food Truck,3.1927368501488734e-07,38,10,38_10
G3078,Malleshwaram,13.012194646138903,77.57252136364318,17671,125695.0,2575.0,3.51,213,3.54,19,38,55,47,4.96,2.46,26.45,10,Cafe,Family Style,3.2596390680097804e-07,42,9,42_9
G3079,Malleshwaram,12.987290680133524,77.57049348275002,13930,47072.0,3759.0,4.2,0,3.93,6,3,117,26,1.56,2.14,57.12,9,Mexican,Food Truck,6.285553303600219e-07,37,8,37_8
G3080,Malleshwaram,12.985329051967252,77.56959248003608,10991,158930.0,4509.0,4.32,117,4.23,8,18,45,46,3.37,3.33,32.76,8,Chinese,Casual Dining,3.581948910816327e-07,36,8,36_8
G3081,Malleshwaram,12.995336806355766,77.57965756478254,11443,175383.0,1748.0,3.9,307,3.78,12,22,0,32,4.95,2.95,38.31,5,Mexican,Fine Dining,2.6563470388863835e-07,38,10,38_10
G3082,Malleshwaram,12.994608230893256,77.57323448829649,14579,83145.0,4287.0,4.5,65,4.38,25,17,120,16,2.83,0.2,83.13,10,Italian,Food Truck,50.000000248323495,38,9,38_9
G3083,Malleshwaram,12.99899061671923,77.56244992545352,15446,105576.0,3992.0,3.67,0,3.24,10,45,86,8,5.15,3.13,56.38,8,Italian,Food Truck,2.6631720284832375e-07,39,7,39_7
G3084,Malleshwaram,12.992223509709818,77.56686516175876,17186,45834.0,3779.0,3.63,181,3.14,4,52,78,14,3.58,0.67,37.29,8,Mexican,Food Court,1.1113068265327698e-06,38,7,38_7
G3085,Malleshwaram,13.017769009793149,77.57167655134496,18878,144349.0,405.0,4.27,132,4.5,18,56,72,36,5.26,2.98,49.52,9,Japanese,Fine Dining,3.1201829093358357e-07,43,9,43_9
G3086,Malleshwaram,12.980303881429675,77.57722209615903,10712,73505.0,5305.0,3.77,174,4.08,22,44,121,37,3.46,0.2,41.83,10,BBQ,Fine Dining,50.00000016538906,35,10,35_10
G3087,Malleshwaram,13.008210609972172,77.56611440318669,16636,162140.0,5620.0,4.07,0,4.12,24,26,7,46,3.51,3.23,55.29,6,Biryani,Quick Service,3.438207931634e-07,41,7,41_7
G3088,Malleshwaram,13.001065126256782,77.57522637737969,15140,94259.0,2093.0,4.48,143,4.64,38,33,119,55,3.71,1.5,55.92,8,Japanese,Cafe/Bistro,4.955536710671288e-07,40,9,40_9
G3089,Malleshwaram,12.983297603753243,77.56165469702734,17395,104452.0,4621.0,3.78,143,3.89,30,13,121,0,5.8,0.2,38.74,5,South Indian,Fine Dining,50.00000009452336,36,6,36_6
G3090,Malleshwaram,13.00351190839844,77.57481212759593,16854,108222.0,4337.0,3.91,83,3.99,11,44,57,6,3.35,1.8,49.26,5,Japanese,Fine Dining,4.559328143964766e-07,40,9,40_9
G3091,Malleshwaram,12.990400793201518,77.57855997164542,10351,126220.0,3932.0,3.84,0,4.01,29,59,33,44,5.28,1.88,42.91,5,Seafood,Cafe/Bistro,3.1098792511473056e-07,37,10,37_10
G3092,Malleshwaram,13.019371802753284,77.57625053215766,15384,51605.0,2789.0,3.14,0,3.05,3,43,62,18,2.78,3.01,75.21,4,Continental,Bar/Pub,3.1166754361548926e-07,44,10,44_10
G3093,Malleshwaram,13.01321108790436,77.57031944840708,14523,137217.0,1643.0,3.15,0,3.05,10,36,139,0,1.08,2.28,52.94,8,Continental,Casual Dining,7.758921393688332e-07,42,8,42_8
G3094,Malleshwaram,13.01629613733404,77.56039862064347,11035,65756.0,5233.0,3.9,220,3.72,26,45,28,9,4.13,0.41,16.71,7,Continental,Food Court,2.2218282935757657e-06,43,6,43_6
G3095,Malleshwaram,12.995116586770974,77.5770458638516,16392,149529.0,625.0,3.85,162,4.0,15,56,121,57,3.97,2.52,25.29,6,South Indian,Casual Dining,3.5046804487718964e-07,38,10,38_10
G3096,Malleshwaram,13.01025699561746,77.57614376688228,18922,72886.0,2318.0,4.3,126,4.58,21,14,59,47,3.37,5.08,8.48,8,Biryani,Family Style,2.5963972292819656e-07,42,9,42_9
G3097,Malleshwaram,12.983423359928548,77.56021951193341,16412,151180.0,3492.0,3.05,226,3.2,24,23,70,52,4.17,2.63,65.15,10,Cafe,Food Court,3.5014434824837164e-07,36,6,36_6
G3098,Malleshwaram,13.01087311205712,77.57127228616913,14847,91671.0,4154.0,4.31,0,4.57,23,65,101,0,4.37,1.64,48.65,8,Continental,Family Style,4.3591978296172116e-07,42,8,42_8
G3099,Malleshwaram,13.00173593220021,77.57533727805921,19577,73521.0,5211.0,3.57,201,3.45,8,29,11,41,1.39,3.21,73.89,10,Japanese,Bar/Pub,6.25832239724404e-07,40,9,40_9
G3100,Malleshwaram,13.0075716336448,77.5679419275919,11213,148123.0,4324.0,3.98,26,4.5,12,18,61,11,3.03,2.94,54.01,6,North Indian,Quick Service,3.6615818228720316e-07,41,8,41_8
G3101,Malleshwaram,12.988860957568534,77.562921727211,10514,56879.0,2611.0,4.4,0,4.6,18,33,68,4,4.22,0.2,23.86,7,BBQ,Cafe/Bistro,50.00000007731794,37,7,37_7
G3102,Malleshwaram,13.001896658667995,77.57179013708986,12344,86204.0,1215.0,3.61,251,3.64,23,52,87,63,3.56,1.75,54.21,2,Japanese,Family Style,3.7468370228345883e-07,40,9,40_9
G3103,Malleshwaram,13.001275894226534,77.57400651270478,15566,75289.0,4558.0,3.75,133,3.85,10,33,49,0,3.2,3.51,58.62,8,Fast Food,Quick Service,3.114958914669441e-07,40,9,40_9
G3104,Malleshwaram,12.992936133393124,77.57289747101365,11986,138309.0,4103.0,3.28,240,3.22,14,25,116,11,3.44,4.05,51.9,9,South Indian,Food Truck,2.8950863361912277e-07,38,9,38_9
G3105,Malleshwaram,13.016127894181857,77.5722229296267,10051,92833.0,5785.0,4.22,272,4.43,14,73,25,12,3.7,2.2,50.79,8,Fast Food,Food Truck,3.667951554166063e-07,43,9,43_9
G3106,Malleshwaram,13.002291153602744,77.56854478949349,13779,108098.0,1746.0,4.22,110,4.38,6,36,72,53,5.76,2.66,26.47,4,Mexican,Food Court,2.815719584950419e-07,40,8,40_8
G3107,Malleshwaram,12.998252174441626,77.5782690994049,17725,111345.0,5426.0,3.83,0,3.63,9,63,47,25,3.52,1.17,56.05,5,Mexican,Quick Service,6.462807180215147e-07,39,10,39_10
G3108,Malleshwaram,13.019325203532311,77.57460134244387,19094,46883.0,3223.0,3.29,187,3.6,27,34,90,0,1.97,0.2,40.06,4,BBQ,Food Truck,50.00000022671255,44,9,44_9
G3109,Malleshwaram,13.0103863224948,77.57823124913878,11723,164565.0,2138.0,3.84,164,3.8,12,52,82,38,4.49,1.32,33.54,6,Seafood,Food Truck,5.292211810501766e-07,42,10,42_10
G3110,Malleshwaram,13.001886279614922,77.56869512216473,13017,82734.0,3640.0,3.68,114,3.66,19,37,68,30,2.97,1.95,43.42,6,Cafe,Bar/Pub,4.019614489563386e-07,40,8,40_8
G3111,Malleshwaram,13.019887731939113,77.5650045983032,15384,140121.0,5291.0,3.53,175,3.6,29,20,101,0,3.09,0.2,19.03,10,Biryani,Quick Service,50.00000019377771,44,7,44_7
G3112,Malleshwaram,12.991680252380416,77.57092009509691,12959,124809.0,5359.0,3.5,30,3.59,20,28,55,17,2.14,0.95,32.07,9,Seafood,Family Style,8.563926097223217e-07,38,8,38_8
G3113,Malleshwaram,12.98722710456307,77.57976772184777,19796,104407.0,3102.0,3.39,148,3.0,10,48,53,29,4.58,3.26,33.94,10,Continental,Cafe/Bistro,2.8580873217743164e-07,37,10,37_10
G3114,Malleshwaram,13.006173806052994,77.56451505000393,15506,45910.0,2280.0,3.83,137,4.04,12,56,56,18,3.47,3.12,65.84,9,Continental,Casual Dining,2.9424126350551757e-07,41,7,41_7
G3115,Malleshwaram,12.99318664648914,77.57824150471735,11957,66737.0,2555.0,3.7,0,3.64,23,65,90,54,4.96,1.81,16.48,6,South Indian,Food Truck,3.0834321793633393e-07,38,10,38_10
G3116,Malleshwaram,12.995011593471013,77.56132528725213,19087,120989.0,2723.0,3.98,193,4.1,13,42,144,5,3.16,2.18,47.91,8,Seafood,Food Truck,4.5858367287792773e-07,38,6,38_6
G3117,Malleshwaram,12.98047269146979,77.56733980597288,19586,61652.0,1740.0,4.23,284,4.26,17,59,52,0,5.2,3.15,72.62,7,Mexican,Cafe/Bistro,2.5860098963455e-07,35,8,35_8
G3118,Malleshwaram,13.014692025338114,77.57529621253592,10786,156386.0,4115.0,4.13,14,3.98,10,25,78,7,2.5,4.44,37.25,7,Mexican,Bar/Pub,3.42899425137599e-07,43,9,43_9
G3119,Malleshwaram,12.987395741521407,77.56218312028717,10630,131086.0,2852.0,3.98,191,3.88,11,22,81,0,4.28,0.32,58.31,8,North Indian,Family Style,3.936367268352688e-06,37,6,37_6
G3120,Malleshwaram,13.001781902324378,77.56386693387137,10507,161497.0,830.0,3.79,70,3.82,22,44,132,0,7.03,1.28,23.21,8,Italian,Casual Dining,4.6087847434943895e-07,40,7,40_7
G3121,Malleshwaram,12.998807384660925,77.57869647286898,18876,144343.0,5874.0,3.69,29,3.68,19,29,74,47,4.5,0.2,41.28,9,Italian,Food Court,50.00000020198048,39,10,39_10
G3122,Malleshwaram,13.01160768132802,77.57601606289974,12846,150543.0,1403.0,3.94,36,3.7,8,40,53,39,4.37,0.2,16.38,7,Seafood,Fine Dining,50.00000012905495,42,9,42_9
G3123,Malleshwaram,12.984301361304762,77.56356985369254,17057,144800.0,2265.0,3.9,0,4.31,12,27,101,41,3.48,4.09,26.8,10,South Indian,Bar/Pub,3.3105678260927755e-07,36,7,36_7
G3124,Malleshwaram,12.991254882231065,77.5629363996955,19737,138812.0,5251.0,3.85,155,3.81,13,42,56,21,3.97,0.2,48.13,8,Cafe,Quick Service,50.00000021722373,37,7,37_7
G3125,Malleshwaram,13.00629394726583,77.56864734913118,15892,59199.0,4691.0,4.07,202,4.02,16,54,46,47,6.16,1.91,57.44,9,Chinese,Food Truck,3.7159988775444545e-07,41,8,41_8
G3126,Malleshwaram,13.002973427057036,77.56516820022067,13589,70547.0,3451.0,4.29,160,4.37,30,46,11,44,2.55,0.75,30.62,7,Cafe,Quick Service,9.893002941465306e-07,40,7,40_7
G3127,Malleshwaram,12.995010588962328,77.57428967262705,11673,177343.0,5523.0,3.64,107,4.09,13,43,62,33,5.77,3.45,46.15,8,Mexican,Food Court,2.805071136135842e-07,38,9,38_9
G3128,Malleshwaram,13.008067058790385,77.56604888059756,13408,77619.0,5756.0,3.82,161,3.74,8,27,74,0,1.47,0.2,15.62,6,Continental,Cafe/Bistro,50.00000038920221,41,7,41_7
G3129,Malleshwaram,12.988748057381072,77.57974474374447,16058,46431.0,381.0,3.84,154,3.36,15,20,7,0,4.39,1.18,28.75,6,Continental,Bar/Pub,4.954059514893122e-07,37,10,37_10
G3130,Malleshwaram,12.995031591137508,77.57607183914502,16298,159158.0,3304.0,3.66,211,4.04,21,32,120,45,4.22,1.98,35.31,8,South Indian,Bar/Pub,4.327886067549947e-07,38,9,38_9
G3131,Malleshwaram,12.994844274117444,77.56422357335339,18337,95078.0,1713.0,4.33,89,4.33,14,32,58,46,3.12,1.7,50.19,9,Continental,Family Style,5.174604442878926e-07,38,7,38_7
G3132,Malleshwaram,12.997858147178087,77.57206495983952,18668,87502.0,1149.0,4.29,152,4.06,5,27,53,0,5.09,1.58,39.16,7,Fast Food,Family Style,4.4995380678673687e-07,39,9,39_9
G3133,Malleshwaram,12.99029033146692,77.57862617340938,17271,63736.0,3824.0,4.18,310,4.08,25,30,27,14,1.3,1.43,27.73,9,Mexican,Bar/Pub,8.035229937636653e-07,37,10,37_10
G3134,Malleshwaram,13.007295700673287,77.5759094449953,16337,109158.0,4059.0,4.13,0,4.67,9,28,43,7,7.93,0.31,57.11,9,Japanese,Cafe/Bistro,4.267838159564529e-06,41,9,41_9
G3135,Malleshwaram,12.98599966030261,77.56811519748777,13999,127626.0,2095.0,3.46,112,3.56,13,36,36,38,4.58,3.13,55.8,7,Cafe,Fine Dining,2.6206638184165304e-07,36,8,36_8
G3136,Malleshwaram,13.01189160803639,77.56217858837405,11739,96262.0,3303.0,3.31,267,3.17,13,36,18,50,5.26,1.55,49.09,7,Chinese,Food Truck,4.034904239289186e-07,42,6,42_6
G3137,Malleshwaram,12.988758282941404,77.57961685783934,19488,159153.0,1176.0,4.06,0,4.04,19,51,51,36,4.03,0.2,60.3,10,Thai,Family Style,50.00000019861696,37,10,37_10
G3138,Malleshwaram,13.017897008097908,77.56554757912136,13641,80373.0,3999.0,3.53,0,3.66,20,49,49,21,3.98,2.2,60.25,9,Thai,Family Style,3.3129399276636897e-07,43,7,43_7
G3139,Malleshwaram,13.016913280223688,77.5696091397419,14257,172806.0,3110.0,3.46,192,3.05,12,47,89,34,6.02,4.77,33.99,7,Fast Food,Fine Dining,2.0686035053424712e-07,43,8,43_8
G3140,Malleshwaram,13.018231045195185,77.56789845817427,19827,171137.0,4039.0,3.86,9,4.36,25,15,53,33,3.91,1.89,43.27,8,Japanese,Food Truck,4.6960840596749556e-07,43,8,43_8
G3141,Malleshwaram,13.00357644295998,77.56155589759155,10206,175421.0,1169.0,3.75,140,3.52,17,18,95,5,2.4,0.2,33.52,7,Cafe,Quick Service,50.00000021868177,40,6,40_6
G3142,Malleshwaram,13.017528227558785,77.56433470980257,16161,154764.0,5917.0,4.38,282,4.42,15,64,80,37,3.13,2.26,68.69,6,Biryani,Family Style,4.828817817491295e-07,43,7,43_7
G3143,Malleshwaram,12.988243442368343,77.56735441993358,13421,178364.0,5669.0,4.18,86,4.22,18,31,94,17,1.49,0.49,48.08,8,Biryani,Fine Dining,2.025157216934386e-06,37,8,37_8
G3144,Malleshwaram,13.003941851405363,77.56725968905378,15385,116698.0,2876.0,3.76,136,3.88,23,32,70,10,2.67,2.39,21.24,7,Continental,Food Truck,3.821056345309384e-07,40,8,40_8
G3145,Malleshwaram,13.002642582253088,77.57808402596153,18646,178558.0,3951.0,4.46,0,4.23,14,33,124,0,4.36,1.66,36.6,7,North Indian,Fine Dining,5.172544127423161e-07,40,10,40_10
G3146,Malleshwaram,12.9932145537825,77.57109630022012,18280,74271.0,2922.0,4.29,86,4.5,26,22,40,23,5.85,4.19,45.01,8,Fast Food,Food Truck,2.0234987111490342e-07,38,8,38_8
G3147,Malleshwaram,12.982142324271004,77.56560807454997,14074,121429.0,2356.0,3.99,332,4.15,21,24,20,31,2.9,3.8,54.29,8,Cafe,Quick Service,3.157300396748192e-07,35,7,35_7
G3148,Malleshwaram,13.01701202429115,77.56952390449547,13680,174787.0,388.0,4.49,45,4.59,6,31,4,30,4.11,0.2,40.65,7,Seafood,Bar/Pub,50.00000017537197,43,8,43_8
G3149,Malleshwaram,12.987540387611006,77.57265066715928,10093,121560.0,4721.0,4.53,202,4.46,10,48,79,17,2.74,0.22,21.71,9,Italian,Food Court,2.3048354549924583e-05,37,9,37_9
G3150,Malleshwaram,13.002037091500716,77.56789975682365,14783,171399.0,5407.0,4.09,228,3.71,27,41,62,46,5.1,1.06,31.75,6,Japanese,Food Truck,6.622472825476206e-07,40,8,40_8
G3151,Malleshwaram,12.996409917340722,77.5765501512497,15510,45766.0,5379.0,4.14,109,4.12,10,18,60,2,7.87,2.7,39.57,10,Chinese,Fine Dining,2.684398525112915e-07,39,10,39_10
G3152,Malleshwaram,13.004539355290218,77.57045114385878,17486,85015.0,2907.0,4.77,212,4.73,8,47,120,15,4.83,0.2,55.4,5,Mexican,Casual Dining,50.000000177732176,40,8,40_8
G3153,Malleshwaram,13.012078780028936,77.57201891721012,14231,160481.0,965.0,3.5,3,3.8,22,51,73,52,5.08,0.2,39.84,8,Biryani,Cafe/Bistro,50.00000010823798,42,9,42_9
G3154,Malleshwaram,12.987603247482296,77.57534961277408,19809,117988.0,5519.0,3.57,328,3.36,16,77,0,0,6.0,3.66,48.88,10,Bakery,Casual Dining,2.478694288936195e-07,37,9,37_9
G3155,Malleshwaram,13.011190956075083,77.56708712923498,14329,98771.0,3713.0,4.65,0,4.07,26,67,24,24,4.96,1.86,100.0,5,BBQ,Fine Dining,3.672962739957896e-07,42,8,42_8
G3156,Malleshwaram,13.005181941676897,77.56395507115627,11169,59519.0,779.0,4.54,122,4.44,7,48,41,63,2.15,1.0,57.12,10,Japanese,Fine Dining,8.28198823086469e-07,41,7,41_7
G3157,Malleshwaram,13.013757904525797,77.57167333674509,17363,56498.0,2236.0,3.58,173,3.83,7,48,14,54,2.44,2.39,40.43,4,Continental,Family Style,4.010004091910999e-07,42,9,42_9
G3158,Malleshwaram,12.982181868963188,77.56439490649723,13836,108391.0,2401.0,4.54,124,3.97,17,52,57,42,3.22,1.69,50.71,4,Biryani,Cafe/Bistro,4.5865619176045565e-07,35,7,35_7
G3159,Malleshwaram,12.9810376665481,77.57060459548468,18206,118123.0,1123.0,4.23,0,3.66,32,52,71,0,7.94,2.07,76.17,6,Cafe,Quick Service,2.7880612099190364e-07,35,8,35_8
G3160,Malleshwaram,12.994043445327348,77.57645167014971,18339,168753.0,3132.0,4.24,265,4.19,15,27,35,0,3.79,0.2,50.03,8,Chinese,Fine Dining,50.000000218620585,38,10,38_10
G3161,Malleshwaram,13.004966696694575,77.57216351194921,11154,127624.0,1981.0,3.57,57,3.48,18,61,118,6,4.11,2.06,84.13,10,Biryani,Bar/Pub,3.6679127647261346e-07,41,9,41_9
G3162,Malleshwaram,13.00648621145358,77.57329505961371,19267,118174.0,3251.0,3.21,28,2.91,9,38,40,10,6.21,3.27,65.96,10,Continental,Casual Dining,2.6002571147962064e-07,41,9,41_9
G3163,Malleshwaram,13.004410743009974,77.56733085169198,15021,161599.0,1015.0,4.44,219,4.34,12,48,77,28,5.04,2.63,56.51,9,Continental,Food Truck,3.5209261464236367e-07,40,8,40_8
G3164,Malleshwaram,12.985856201288472,77.57390798310121,14850,115560.0,2322.0,5.0,330,5.0,13,44,106,44,2.79,1.46,23.01,6,Continental,Food Court,6.068154390536311e-07,36,9,36_9
G3165,Malleshwaram,13.00612351741476,77.57806563280488,17514,133405.0,4225.0,3.78,71,3.65,16,11,94,31,1.46,1.74,47.75,9,South Indian,Family Style,7.468427239123479e-07,41,10,41_10
G3166,Malleshwaram,13.014904073259258,77.56506970612865,13013,156577.0,5539.0,4.1,316,4.11,18,29,22,21,4.42,1.33,8.6,10,Continental,Bar/Pub,5.575805594745021e-07,43,7,43_7
G3167,Malleshwaram,13.008851849770084,77.57030138875659,10323,109315.0,2820.0,4.07,328,4.12,9,40,42,0,5.05,1.04,46.07,8,Bakery,Food Court,6.381123511823324e-07,41,8,41_8
G3168,Malleshwaram,12.985560869916869,77.57786065503443,16156,72751.0,4762.0,4.46,1,4.44,10,50,7,48,2.92,3.01,65.62,9,Italian,Bar/Pub,3.8987006682666954e-07,36,10,36_10
G3169,Malleshwaram,12.98370892698768,77.56981629786631,11665,46873.0,1422.0,3.44,246,3.48,8,50,41,6,2.79,1.56,40.39,7,Biryani,Quick Service,4.4788954180820596e-07,36,8,36_8
G3170,Malleshwaram,12.995747371787454,77.56629173840254,12122,86508.0,196.0,3.81,146,4.27,4,35,25,75,3.76,0.98,29.39,9,Mexican,Food Truck,7.188872618590538e-07,38,7,38_7
